lake_slug,lake_name,weather_date,temperature_max_f,temperature_min_f,precipitation_in,wind_speed_max_mph,conditions_score,conditions_label,source_system,updated_at_utc
high_rock_lake,High Rock Lake,2026-05-02,59.7,47.6,0.0,9.0,100,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
high_rock_lake,High Rock Lake,2026-05-03,68.1,41.2,0.0,9.5,100,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
high_rock_lake,High Rock Lake,2026-05-04,80.8,44.2,0.0,10.4,100,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
high_rock_lake,High Rock Lake,2026-05-05,81.1,49.0,0.0,14.1,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
high_rock_lake,High Rock Lake,2026-05-06,83.4,59.8,0.0,14.1,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
high_rock_lake,High Rock Lake,2026-05-07,73.9,52.4,1.382,17.7,60,Okay,open_meteo,2026-05-03T02:14:13.310855+00:00
high_rock_lake,High Rock Lake,2026-05-08,69.6,43.3,0.0,16.8,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_norman,Lake Norman,2026-05-02,61.6,50.5,0.0,9.6,100,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_norman,Lake Norman,2026-05-03,68.7,40.4,0.0,7.9,100,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_norman,Lake Norman,2026-05-04,80.0,45.3,0.0,12.5,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_norman,Lake Norman,2026-05-05,80.6,52.5,0.0,14.2,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_norman,Lake Norman,2026-05-06,84.8,60.5,0.0,14.2,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_norman,Lake Norman,2026-05-07,74.9,54.2,1.268,15.5,60,Okay,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_norman,Lake Norman,2026-05-08,70.6,42.1,0.0,12.1,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_tillery,Lake Tillery,2026-05-02,62.0,49.6,0.087,8.5,90,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_tillery,Lake Tillery,2026-05-03,70.4,43.0,0.0,8.9,100,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_tillery,Lake Tillery,2026-05-04,81.4,47.1,0.0,10.4,100,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_tillery,Lake Tillery,2026-05-05,83.3,50.7,0.0,14.1,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_tillery,Lake Tillery,2026-05-06,87.1,62.2,0.0,13.9,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_tillery,Lake Tillery,2026-05-07,73.6,60.6,2.197,18.0,60,Okay,open_meteo,2026-05-03T02:14:13.310855+00:00
lake_tillery,Lake Tillery,2026-05-08,73.5,44.0,0.0,16.5,85,Good,open_meteo,2026-05-03T02:14:13.310855+00:00
