lake_slug,lake_name,weather_date,temperature_max_f,temperature_min_f,precipitation_in,wind_speed_max_mph,source_system,updated_at_utc
high_rock_lake,High Rock Lake,2026-05-02,59.7,47.6,0.0,9.0,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-03,68.1,41.2,0.0,9.5,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-04,80.2,39.0,0.0,9.7,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-05,81.4,50.7,0.0,15.4,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-06,78.5,59.1,0.067,12.7,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-07,80.2,45.4,1.024,19.9,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-08,68.3,39.5,0.0,11.2,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-09,76.6,46.1,0.0,9.7,open_meteo,2026-05-04T13:16:54.714650+00:00
high_rock_lake,High Rock Lake,2026-05-10,69.6,57.5,0.106,5.1,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-02,61.6,50.5,0.0,9.6,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-03,68.7,40.4,0.0,7.9,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-04,79.5,40.9,0.0,11.1,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-05,81.1,53.1,0.0,16.6,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-06,80.3,60.1,0.165,13.7,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-07,80.4,47.3,1.28,21.0,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-08,68.0,41.7,0.0,10.2,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-09,76.7,47.5,0.0,7.2,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_norman,Lake Norman,2026-05-10,64.9,57.2,0.071,5.2,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-02,62.0,49.6,0.087,8.5,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-03,70.4,43.0,0.0,8.9,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-04,81.6,44.4,0.0,9.7,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-05,83.4,53.2,0.0,13.0,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-06,82.4,60.1,0.059,12.2,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-07,84.9,48.7,0.461,18.5,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-08,70.9,41.5,0.0,11.7,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-09,82.4,48.2,0.0,8.4,open_meteo,2026-05-04T13:16:54.714650+00:00
lake_tillery,Lake Tillery,2026-05-10,71.8,61.5,0.118,7.2,open_meteo,2026-05-04T13:16:54.714650+00:00
