lake_slug,lake_name,date,temperature_max_f,temperature_min_f,precipitation_in,wind_speed_max_mph,source_system,ingested_at_utc,raw_file_name
high_rock_lake,High Rock Lake,2026-05-02,59.7,50.0,0.0,9.0,open_meteo,2026-05-03T01:17:36.722409+00:00,high_rock_lake_weather_open_meteo_20260503_011736.json
high_rock_lake,High Rock Lake,2026-05-03,68.3,42.0,0.0,8.6,open_meteo,2026-05-03T01:17:36.722409+00:00,high_rock_lake_weather_open_meteo_20260503_011736.json
high_rock_lake,High Rock Lake,2026-05-04,77.3,45.0,0.0,10.6,open_meteo,2026-05-03T01:17:36.722409+00:00,high_rock_lake_weather_open_meteo_20260503_011736.json
high_rock_lake,High Rock Lake,2026-05-05,81.1,49.0,0.0,14.1,open_meteo,2026-05-03T01:17:36.722409+00:00,high_rock_lake_weather_open_meteo_20260503_011736.json
high_rock_lake,High Rock Lake,2026-05-06,83.4,59.8,0.0,14.1,open_meteo,2026-05-03T01:17:36.722409+00:00,high_rock_lake_weather_open_meteo_20260503_011736.json
high_rock_lake,High Rock Lake,2026-05-07,73.9,52.4,1.382,17.7,open_meteo,2026-05-03T01:17:36.722409+00:00,high_rock_lake_weather_open_meteo_20260503_011736.json
high_rock_lake,High Rock Lake,2026-05-08,69.6,43.3,0.0,16.8,open_meteo,2026-05-03T01:17:36.722409+00:00,high_rock_lake_weather_open_meteo_20260503_011736.json
high_rock_lake,High Rock Lake,2026-05-02,59.7,47.6,0.0,9.0,open_meteo,2026-05-03T02:14:12.249199+00:00,high_rock_lake_weather_open_meteo_20260503_021412.json
high_rock_lake,High Rock Lake,2026-05-03,68.1,41.2,0.0,9.5,open_meteo,2026-05-03T02:14:12.249199+00:00,high_rock_lake_weather_open_meteo_20260503_021412.json
high_rock_lake,High Rock Lake,2026-05-04,80.8,44.2,0.0,10.4,open_meteo,2026-05-03T02:14:12.249199+00:00,high_rock_lake_weather_open_meteo_20260503_021412.json
high_rock_lake,High Rock Lake,2026-05-05,81.1,49.0,0.0,14.1,open_meteo,2026-05-03T02:14:12.249199+00:00,high_rock_lake_weather_open_meteo_20260503_021412.json
high_rock_lake,High Rock Lake,2026-05-06,83.4,59.8,0.0,14.1,open_meteo,2026-05-03T02:14:12.249199+00:00,high_rock_lake_weather_open_meteo_20260503_021412.json
high_rock_lake,High Rock Lake,2026-05-07,73.9,52.4,1.382,17.7,open_meteo,2026-05-03T02:14:12.249199+00:00,high_rock_lake_weather_open_meteo_20260503_021412.json
high_rock_lake,High Rock Lake,2026-05-08,69.6,43.3,0.0,16.8,open_meteo,2026-05-03T02:14:12.249199+00:00,high_rock_lake_weather_open_meteo_20260503_021412.json
high_rock_lake,High Rock Lake,2026-05-02,59.7,47.6,0.0,9.0,open_meteo,2026-05-03T02:23:47.454969+00:00,high_rock_lake_weather_open_meteo_20260503_022347.json
high_rock_lake,High Rock Lake,2026-05-03,68.1,41.2,0.0,9.5,open_meteo,2026-05-03T02:23:47.454969+00:00,high_rock_lake_weather_open_meteo_20260503_022347.json
high_rock_lake,High Rock Lake,2026-05-04,80.8,44.2,0.0,10.4,open_meteo,2026-05-03T02:23:47.454969+00:00,high_rock_lake_weather_open_meteo_20260503_022347.json
high_rock_lake,High Rock Lake,2026-05-05,81.1,49.0,0.0,14.1,open_meteo,2026-05-03T02:23:47.454969+00:00,high_rock_lake_weather_open_meteo_20260503_022347.json
high_rock_lake,High Rock Lake,2026-05-06,83.4,59.8,0.0,14.1,open_meteo,2026-05-03T02:23:47.454969+00:00,high_rock_lake_weather_open_meteo_20260503_022347.json
high_rock_lake,High Rock Lake,2026-05-07,73.9,52.4,1.382,17.7,open_meteo,2026-05-03T02:23:47.454969+00:00,high_rock_lake_weather_open_meteo_20260503_022347.json
high_rock_lake,High Rock Lake,2026-05-08,69.6,43.3,0.0,16.8,open_meteo,2026-05-03T02:23:47.454969+00:00,high_rock_lake_weather_open_meteo_20260503_022347.json
lake_norman,Lake Norman,2026-05-02,61.6,52.8,0.0,9.6,open_meteo,2026-05-03T01:17:35.716253+00:00,lake_norman_weather_open_meteo_20260503_011735.json
lake_norman,Lake Norman,2026-05-03,69.1,41.3,0.0,7.7,open_meteo,2026-05-03T01:17:35.716253+00:00,lake_norman_weather_open_meteo_20260503_011735.json
lake_norman,Lake Norman,2026-05-04,77.6,45.0,0.0,10.3,open_meteo,2026-05-03T01:17:35.716253+00:00,lake_norman_weather_open_meteo_20260503_011735.json
lake_norman,Lake Norman,2026-05-05,80.6,52.5,0.0,14.2,open_meteo,2026-05-03T01:17:35.716253+00:00,lake_norman_weather_open_meteo_20260503_011735.json
lake_norman,Lake Norman,2026-05-06,84.8,60.5,0.0,14.2,open_meteo,2026-05-03T01:17:35.716253+00:00,lake_norman_weather_open_meteo_20260503_011735.json
lake_norman,Lake Norman,2026-05-07,74.9,54.2,1.268,15.5,open_meteo,2026-05-03T01:17:35.716253+00:00,lake_norman_weather_open_meteo_20260503_011735.json
lake_norman,Lake Norman,2026-05-08,70.6,42.1,0.0,12.1,open_meteo,2026-05-03T01:17:35.716253+00:00,lake_norman_weather_open_meteo_20260503_011735.json
lake_norman,Lake Norman,2026-05-02,61.6,50.5,0.0,9.6,open_meteo,2026-05-03T02:14:11.483001+00:00,lake_norman_weather_open_meteo_20260503_021411.json
lake_norman,Lake Norman,2026-05-03,68.7,40.4,0.0,7.9,open_meteo,2026-05-03T02:14:11.483001+00:00,lake_norman_weather_open_meteo_20260503_021411.json
lake_norman,Lake Norman,2026-05-04,80.0,45.3,0.0,12.5,open_meteo,2026-05-03T02:14:11.483001+00:00,lake_norman_weather_open_meteo_20260503_021411.json
lake_norman,Lake Norman,2026-05-05,80.6,52.5,0.0,14.2,open_meteo,2026-05-03T02:14:11.483001+00:00,lake_norman_weather_open_meteo_20260503_021411.json
lake_norman,Lake Norman,2026-05-06,84.8,60.5,0.0,14.2,open_meteo,2026-05-03T02:14:11.483001+00:00,lake_norman_weather_open_meteo_20260503_021411.json
